sep=,
Subject,Task,ST,STlanguage,TTlanguage,MicroUnitId,LinearRep,Pause,PauseType,Start,End,DurationM,DurationT,FixCountS,FixDurationS,MeanDurationS,FixCountT,FixDurationT,MeanDurationT,FixCountST,FixDurationST,MeanDurationST,FixCountSPause,FixDurationSPause,MeanDurationSPause,FixCountTPause,FixDurationTPause,MeanDurationTPause,FixCountSTPause,FixDurationSTPause,MeanDurationSTPause,Visits,VisitsPause,Saccade,SacaddeAngle,SaccadeSum,SaccadeMean,SaccadePause,SaccadeAnglePause,SaccadeSumPause,SaccadeMeanPause,ins,del
P10_T2,translating,Osbrasileiros,pt,zh,49,,3292,null,107375,107453,78,0,1,1465,1465.0,0,0,0.0,1,1465,1465.0,1,1465,1465.0,0,0,0.0,1,1465,1465.0,0,null,100.4987562112089,null,100.4987562112089,0.930544038992675,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,50,根据[Back][Back]根据,3292,null,107454,111990,4536,0,1,0,0.0,3,3064,1021.3333333333334,4,3064,766.0,0,0,0.0,0,0,0.0,0,0,0.0,1,null,302.16551755618974+468.36737717309046,null,770.5328947292802,7.004844497538911,null,null,null,null,3,2
P10_T2,translating,Osbrasileiros,pt,zh,51,,2668,null,111991,111991,0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,52,,2668,null,111992,112505,513,0,0,0,0.0,1,516,516.0,1,516,516.0,0,0,0.0,1,516,516.0,1,516,516.0,0,null,514.8436655917989,null,514.8436655917989,4.638231221547738,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,53,,2668,null,112506,112506,0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,54,,2668,null,112507,112833,326,0,0,0,0.0,1,325,325.0,1,325,325.0,0,0,0.0,1,325,325.0,1,325,325.0,0,null,474.45653120175297,null,474.45653120175297,4.23621902858708,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,55,,2668,null,112834,112990,156,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,56,,2668,null,112991,116249,3258,0,1,3273,3273.0,0,0,0.0,1,3273,3273.0,1,3273,3273.0,0,0,0.0,1,3273,3273.0,0,null,298.7189314389029,null,298.7189314389029,2.643530366715955,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,57,,2668,null,116250,116766,516,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,58,一美国杂志,2668,null,116767,120353,3586,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,1,0
P10_T2,translating,Osbrasileiros,pt,zh,59,,4805,null,120354,120508,154,0,1,167,167.0,0,0,0.0,1,167,167.0,1,167,167.0,0,0,0.0,1,167,167.0,0,null,100.24470060806208,null,100.24470060806208,0.8793394790180884,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,60,,4805,null,120509,120509,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,61,,4805,null,120510,122052,1542,0,1,1549,1549.0,0,0,0.0,1,1549,1549.0,1,1549,1549.0,0,0,0.0,1,1549,1549.0,0,null,101.95096860746347,null,101.95096860746347,0.8865301618040301,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,62,,4805,null,122053,122053,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,63,,4805,null,122054,122208,154,0,1,150,150.0,0,0,0.0,1,150,150.0,1,150,150.0,0,0,0.0,1,150,150.0,0,null,446.5355528958473,null,446.5355528958473,3.849444421515925,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,64,,4805,null,122209,122209,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,65,,4805,null,122210,128435,6225,0,1,10075,10075.0,0,0,0.0,1,10075,10075.0,1,10075,10075.0,0,0,0.0,1,10075,10075.0,0,null,661.1701747659221,null,661.1701747659221,5.6510271347514704,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,66,报道,4805,null,128436,128638,202,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,1,0
P10_T2,translating,Osbrasileiros,pt,zh,67,，这位,11669,null,128639,134003,5364,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,2,0
P10_T2,translating,Osbrasileiros,pt,zh,68,,3931,null,134004,134158,154,0,0,0,0.0,1,158,158.0,1,158,158.0,0,0,0.0,1,158,158.0,1,158,158.0,0,null,543.4059256209855,null,543.4059256209855,4.605134962889708,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,69,,3931,null,134159,134159,0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,1,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,70,,3931,null,134160,134314,154,0,0,0,0.0,1,150,150.0,1,150,150.0,0,0,0.0,1,150,150.0,1,150,150.0,0,null,309.46728421595714,null,309.46728421595714,2.6005654135794716,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,71,,3931,null,134315,134315,0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,72,,3931,null,134316,134969,653,0,0,0,0.0,1,666,666.0,1,666,666.0,0,0,0.0,1,666,666.0,1,666,666.0,0,null,262.37759050650646,null,262.37759050650646,2.186479920887554,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,73,,3931,null,134970,134970,0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,74,,3931,null,134971,135094,123,0,1,117,117.0,0,0,0.0,1,117,117.0,1,117,117.0,0,0,0.0,1,117,117.0,0,null,267.72560579817537,null,267.72560579817537,2.2126083123816147,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,75,,3931,null,135095,135126,31,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,76,,3931,null,135127,138183,3056,0,0,0,0.0,1,3056,3056.0,1,3056,3056.0,0,0,0.0,1,3056,3056.0,1,3056,3056.0,0,null,615.4965475126567,null,615.4965475126567,5.04505366813653,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,77,,3931,null,138184,138184,0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,1,null,,null,0.0,0.0,null,null,null,null,0,0
